Restaurante,URL
LAmerica sede Mall Plaza,https://www.google.com/search?q=LAmerica+sede+Mall+Plaza&oq=LAmerica+sede+Mall+Plaza&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIJCAEQIRgKGKABMgkIAhAhGAoYoAEyCQgDECEYChigATIJCAQQIRgKGKAB0gEHNjA4ajBqOagCALACAQ&sourceid=chrome&ie=UTF-8#lpg=cid:CgIgAQ%3D%3D,ik:CAoSLEFGMVFpcE5WYnFMWlp0aEZlUHowTmpFRTZyRzMzbEl1Y1IwSGZ1OVFySWJm
El Punto M£ltiple del Sabor - Hot / C.C Mall Plaza,https://www.google.com/search?sca_esv=ee88421e58fba9e6&q=El+Punto+M%C3%BAltiple+del+Sabor+-+Hot+/+C.C+Mall+Plaza&tbm=isch&source=lnms&prmd=imvsnbtz&sa=X&ved=2ahUKEwjy-4XaqNyFAxWXgoQIHekABSgQ0pQJegQIDRAB&biw=1366&bih=599&dpr=1#imgrc=wpHt-dNz92AKeM
"El Punto M£ltiple,https://www.google.com/search?sca_esv=ee88421e58fba9e6&tbs=lf:1,lf_ui:9&tbm=lcl&q=El+Punto+M%C3%BAltiple&rflfq=1&num=10&sa=X&ved=2ahUKEwjIneTvqNyFAxV9g4QIHVGoAgEQjGp6BAhGEAE&biw=1366&bih=599&dpr=1#rlfi=hd:;si:3708444790555333226,l,ChJFbCBQdW50byBNw7psdGlwbGVIvoufwOWAgIAIWiAQABABEAIYABgBGAIiEmVsIHB1bnRvIG3Dumx0aXBsZZIBCnJlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkhYMDkxYzFkM0VBRaoBOhABMh4QASIaBpfMFmd86S3098lx7zQcN29uIfF56YFDsLcyFhACIhJlbCBwdW50byBtw7psdGlwbGU,y,HClWT3T-lUQ;mv:[[11.2917724,-74.0609544],[10.3507635,-75.641522]]&lpg=cid:CgIgAQ%3D%3D,ik:CAoSLEFGMVFpcE1OOW5HQzFQVGhCUm5NMmdJQ0ZmM2lRUnRFTnhuRlhzYWZNUmhL"
 Subway,https://www.google.com/search?q=subway+buenavista&oq=subway+buena&gs_lcrp=EgZjaHJvbWUqBwgAEAAYgAQyBwgAEAAYgAQyBggBEEUYOTINCAIQLhivARjHARiABDINCAMQLhivARjHARiABDIHCAQQABiABDINCAUQLhivARjHARiABDIICAYQABgWGB4yCAgHEAAYFhgeMgoICBAAGA8YFhgeMggICRAAGBYYHtIBCDI2NDhqMGo5qAIAsAIA&sourceid=chrome&ie=UTF-8#lpg=cid:CgIgAQ%3D%3D,ik:CAoSLEFGMVFpcE1SbFRja0hUZ2p4WDhHYUd3M0dxbnF4dXlyMlBuNUFVcDg3a1RQ
 Donde Mama,https://www.google.com/search?q=donde+mama+buenavista&oq=donde+mama+buenavista&gs_lcrp=EgZjaHJvbWUqCggAEAAY4wIYgAQyCggAEAAY4wIYgAQyDQgBEC4YrwEYxwEYgATSAQg2NzQxajBqOagCAbACAQ&sourceid=chrome&ie=UTF-8#lpg=cid:CgIgAQ%3D%3D,ik:CAoSLEFGMVFpcFBRUzl0ZkJnQTB5WUdFZnhGblBKczhWTl95ajJ3RU9qYThqWFFr
 M Cocina µrabe Sede Plaza del Parque,https://www.google.com/search?q=M+Cocina+%C3%81rabe+Sede+Plaza+del+Parque&oq=M+Cocina+%C3%81rabe+Sede+Plaza+del+Parque&gs_lcrp=EgZjaHJvbWUyDAgAEEUYORjjAhiABDINCAEQLhivARjHARiABDIGCAIQRRhAqAIAsAIA&sourceid=chrome&ie=UTF-8#lpg=cid:CgIgAQ%3D%3D,ik:CAoSLEFGMVFpcFBZc1hCX0d4Q3ZvZzViVG5MWDF6YTZ1dmNOV3R2aFQxbDEyV1lu
 Centro Comercial Plaza del Parque,https://www.google.com/search?q=Centro+Comercial+Plaza+del+Parque&oq=Centro+Comercial+Plaza+del+Parque&gs_lcrp=EgZjaHJvbWUyDAgAEEUYORjjAhiABDINCAEQLhivARjHARiABDIHCAIQABiABDIHCAMQABiABDIICAQQABgWGB4yCAgFEAAYFhgeMggIBhAAGBYYHjIICAcQABgWGB4yCAgIEAAYFhgeMggICRAAGBYYHqgCALACAA&sourceid=chrome&ie=UTF-8#lpg=cid:CgIgAQ%3D%3D,ik:CAoSLEFGMVFpcE5CaWxPdk9jZHZiamtjYVFvcmpwRG53bmRJQ0NxelZaSzFkUUJl
 La Terraza De La Casa Buenavista,https://www.google.com/search?sca_esv=ee88421e58fba9e6&q=La+Terraza+De+La+Casa+Buenavista&tbm=isch&source=lnms&prmd=imvsnbtz&sa=X&ved=2ahUKEwioy-vRqdyFAxXMr4QIHWJBBWIQ0pQJegQIDBAB&biw=1366&bih=599&dpr=1#imgrc=Zm59qfuX-E8ZHM
 CC Buenavista 2,https://www.google.com/search?q=+CC+Buenavista+2&tbm=isch&ved=2ahUKEwiB7v_SqdyFAxWEazABHekVCksQ2-cCegQIABAA&oq=+CC+Buenavista+2&gs_lp=EgNpbWciECBDQyBCdWVuYXZpc3RhIDIyBxAAGIAEGBhIrApQlQRYoAdwAHgAkAEAmAGJAaABjAKqAQMwLjK4AQPIAQD4AQGKAgtnd3Mtd2l6LWltZ6gCAIgGAQ&sclient=img&ei=0MApZoHGKITXwbkP6auo2AQ&bih=599&biw=1366&prmd=imvsnbtz#imgrc=qt1vjuPF6BrPjM
 Frisby Buenavista,https://www.google.com/search?q=+Frisby+Buenavista&tbm=isch&ved=2ahUKEwiBiKvhqdyFAxUsk4QIHRIPD3AQ2-cCegQIABAA&oq=+Frisby+Buenavista&gs_lp=EgNpbWciEiBGcmlzYnkgQnVlbmF2aXN0YTIHEAAYgAQYGDIHEAAYgAQYGDIHEAAYgAQYGEiEBlAAWIkDcAB4AJABAJgBiwGgAYsBqgEDMC4xuAEDyAEA-AEBigILZ3dzLXdpei1pbWeoAgCIBgE&sclient=img&ei=7sApZoHZLKymkvQPkp68gAc&bih=599&biw=1366&prmd=imvsnbtz#imgrc=L8BQ2Ptk_BJ5bM
 Archies Mall Plaza - Barranquilla,https://www.google.com/search?q=+Archies+Mall+Plaza+-+Barranquilla&tbm=isch&ved=2ahUKEwjopIPqqdyFAxWgroQIHQwvB9kQ2-cCegQIABAA&oq=+Archies+Mall+Plaza+-+Barranquilla&gs_lp=EgNpbWciIiBBcmNoaWVzIE1hbGwgUGxhemEgLSBCYXJyYW5xdWlsbGEyBxAAGIAEGBhI5AZQAFj7A3AAeACQAQCYAYIBoAGCAaoBAzAuMbgBA8gBAPgBAYoCC2d3cy13aXotaW1nqAIAiAYB&sclient=img&ei=AMEpZuikOqDdkvQPjN6cyA0&bih=599&biw=1366&prmd=imvsnbtz#imgrc=2_SJlisr2OagrM
 Baq,https://www.google.com/search?sca_esv=ee88421e58fba9e6&hl=es-419&q=Baq+burger+house&tbm=isch&source=lnms&prmd=imsvnbtz&sa=X&ved=2ahUKEwiqqqixqtyFAxU6bDABHePXBDUQ0pQJegQIDxAB&biw=1366&bih=599&dpr=1#imgrc=-fRF-2miJBbwuM
