FPR,TPR,Thresholds,Model
0.0,0.0,inf,XGBoost
0.0,0.008703703703703703,0.9378871321678162,XGBoost
0.0,0.01962962962962963,0.9273282885551453,XGBoost
0.0,0.030925925925925926,0.9239954352378845,XGBoost
0.0,0.04185185185185185,0.9221954345703125,XGBoost
0.0,0.05351851851851852,0.9217463731765747,XGBoost
0.0,0.06537037037037037,0.9203051328659058,XGBoost
0.0,0.075,0.9195330739021301,XGBoost
0.0,0.08925925925925926,0.9179483652114868,XGBoost
0.0,0.1024074074074074,0.9173229932785034,XGBoost
0.0,0.11407407407407408,0.9137029647827148,XGBoost
0.0,0.12666666666666668,0.9136529564857483,XGBoost
0.0,0.13907407407407407,0.9122011065483093,XGBoost
0.0,0.15037037037037038,0.9110321998596191,XGBoost
0.0,0.16055555555555556,0.9109159111976624,XGBoost
0.0,0.17148148148148148,0.9091963171958923,XGBoost
0.0,0.1812962962962963,0.9034608602523804,XGBoost
0.0,0.19055555555555556,0.9031587243080139,XGBoost
0.0,0.20148148148148148,0.9023318886756897,XGBoost
0.0,0.21314814814814814,0.9023169875144958,XGBoost
0.0,0.2237037037037037,0.9012321829795837,XGBoost
0.0,0.23574074074074075,0.9009588360786438,XGBoost
0.0,0.2461111111111111,0.8986808657646179,XGBoost
0.0,0.25685185185185183,0.8967805504798889,XGBoost
0.0,0.26814814814814814,0.8956142663955688,XGBoost
0.0,0.2785185185185185,0.8935497999191284,XGBoost
0.0,0.28759259259259257,0.888134777545929,XGBoost
0.0,0.29648148148148146,0.8862497210502625,XGBoost
0.0,0.30722222222222223,0.8846611976623535,XGBoost
0.0,0.32092592592592595,0.8844960331916809,XGBoost
0.0,0.3309259259259259,0.8834773898124695,XGBoost
0.0,0.3422222222222222,0.8834119439125061,XGBoost
0.0,0.3553703703703704,0.8820385336875916,XGBoost
0.0,0.36703703703703705,0.8807532787322998,XGBoost
0.0,0.3794444444444444,0.8793642520904541,XGBoost
0.0,0.39055555555555554,0.8785039186477661,XGBoost
0.0,0.40185185185185185,0.8783432245254517,XGBoost
0.0,0.41333333333333333,0.8762809038162231,XGBoost
0.0,0.42685185185185187,0.875307559967041,XGBoost
0.0,0.43666666666666665,0.8713285326957703,XGBoost
0.0,0.44851851851851854,0.869883120059967,XGBoost
0.0,0.46074074074074073,0.8645700216293335,XGBoost
0.0,0.47203703703703703,0.8611633777618408,XGBoost
0.0,0.4835185185185185,0.8608152270317078,XGBoost
0.0,0.49314814814814817,0.8601763248443604,XGBoost
0.0,0.5075925925925926,0.8592211008071899,XGBoost
0.0,0.5170370370370371,0.8582963347434998,XGBoost
0.0,0.5274074074074074,0.8525225520133972,XGBoost
0.0,0.539074074074074,0.8524082899093628,XGBoost
0.0,0.5498148148148149,0.849647045135498,XGBoost
0.0,0.5724074074074074,0.8469345569610596,XGBoost
0.0,0.5833333333333334,0.8466014266014099,XGBoost
0.0,0.5937037037037037,0.8452656269073486,XGBoost
0.0,0.6083333333333333,0.8450914621353149,XGBoost
0.0,0.6192592592592593,0.8314160704612732,XGBoost
0.0,0.632962962962963,0.8306092619895935,XGBoost
0.0,0.6581481481481481,0.821653425693512,XGBoost
0.0,0.6668518518518518,0.8182452917098999,XGBoost
0.0,0.6764814814814815,0.8174445033073425,XGBoost
0.0,0.6883333333333334,0.8172661662101746,XGBoost
0.0,0.6981481481481482,0.813140332698822,XGBoost
0.0,0.71,0.8097530007362366,XGBoost
0.0,0.7224074074074074,0.8070461750030518,XGBoost
0.0,0.7314814814814815,0.8048362135887146,XGBoost
0.0,0.7412962962962963,0.8009881377220154,XGBoost
